id,type,status,was,now,why,question
2012-Q16,mc,TOPIC CHANGED,Operations > Influences,Human Resources > Key influences,GFC = economic influence on HR (was tagged Operations!),the global financial crisis (gfc) caused many businesses to reduce their employee numbers. what type of influence on human resources was this? economic financial government legal
2012-Q24(a),sa,TOPIC CHANGED,Operations > Influences,Human Resources > Processes of human resource management,HR processes (was Operations),• recognises and names two relevant hr processes 2 • recognises and names one relevant hr process 1 question 24 (b) same criteria to be used for (i) and (ii) criteria marks • makes
2013-Q1,mc,TOPIC CHANGED,Marketing > (untagged),Operations > Role of operations management,which function transforms inputs (was tagged Marketing!),which business function transforms raw materials and resources into finished goods or products? finance human resources marketing operations
2013-Q18,mc,TOPIC CHANGED,Finance > (untagged),Operations > Operations strategies,FIFO/LIFO inventory valuation (was tagged Finance),a business is experiencing increasing costs for its stock over time. it is seeking to maximise its profit for the current financial period. which strategy should it adopt to value 
2013-Q21(b),sa,TOPIC CHANGED,Marketing > Marketing strategies,Human Resources > Human resource strategies,dispute resolution (was Marketing),• identifies issues and provides points for and/or against one dispute 4 resolution method which could be used to resolve workplace conflict • provides characteristics and features
2014-Q17,mc,TOPIC CHANGED,Human Resources > (untagged),Operations > Influences,legal compliance v ethical responsibility (was HR),which of the following is an example of legal compliance for a sports store? paying taxes on time offsetting carbon emissions induction of new employees paying dividends to shareho
2014-Q18,mc,TOPIC CHANGED,Finance > Processes of financial management,Operations > Operations processes,Gantt chart (was tagged Finance),a gantt chart for sam’s chocolate shop is shown. jan feb march april may june obtain lease and refit shop purchase stock select and train staff advertising campaign commence tradin
2015-Q12,mc,TOPIC CHANGED,Human Resources > Human resource strategies,Marketing > Marketing strategies,publicity (was tagged HR),which of the following is an example of publicity for a restaurant? changing the menu to include vegetarian dishes areview of the restaurant by a food critic on his blog offering f
2015-Q15,mc,TOPIC CHANGED,Finance > (untagged),Operations > Operations processes,critical path delay (was tagged Finance),"if activity ec is delayed and takes 6 days, by how long will the project be delayed? 0 days 3 days 6 days 17 days use the information to answer questions 16−17. the table shows ext"
2015-Q22(b),sa,TOPIC CHANGED,Marketing > Influences on marketing,Human Resources > Key influences,government / employment contracts (was Marketing),• provides how government influences employment contracts in detail 4 • provides how government influences employment contracts 3 • sketches in general terms the current legal fram
2016-Q14,mc,TOPIC CHANGED,Marketing > (untagged),Finance > Influences on financial management,unit trusts (was tagged Marketing),which of the following is an example of a unit trust? an investor purchases shares in a public company. investors lend money directly to businesses and receive interest in return. 
2016-Q18,mc,TOPIC CHANGED,Marketing > Marketing strategies,Human Resources > Key influences,workers compensation (was tagged Marketing),hannah is a permanent employee at xyz ltd who has been injured in a workplace accident. who is ultimately responsible for paying hannah’s medical expenses for this injury? hannah m
